event_id,year,source_file,event_name,issue,races,standings_or_results,decision,notes
294,2010,racing1999_2013/racing2010/lyc_cyc_LYC.htm,LYC Handicap (LYC ONLY ) - Princes Inlet Challenge LYC - CYC Race,event_has_no_results,1,0,,
273,2010,racing1999_2013/racing2010/RWIAD10.htm,LYC Handicap - LYC Race Week in a Day,event_has_no_results,8,0,,
293,2010,racing1999_2013/racing2010/lyc_cyc.htm,LYC Handicap - Princes Inlet Challenge LYC - CYC Race,event_has_no_results,1,0,,
277,2010,racing1999_2013/racing2010/TNS_Paceship_Aug_AB.htm,LYC Handicap - TNS Paceship Series August A & B Summary,no_races_or_standings,0,0,,
277,2010,racing1999_2013/racing2010/TNS_Paceship_Aug_AB.htm,LYC Handicap - TNS Paceship Series August A & B Summary,variant_noise_in_title,0,0,,
281,2010,racing1999_2013/racing2010/TNS_fall_AB.htm,LYC Handicap - TNS Thursday Fall Series Summary A & B,variant_noise_in_title,0,10,,
318,2011,racing1999_2013/racing2011/june_glube_series.htm,LYC Handicap - June TNS Glube Series Overall,variant_noise_in_title,0,11,,
299,2011,racing1999_2013/racing2011/RWIAD11.htm,LYC Handicap - LYC Race Week in a Day 2011,event_has_no_results,8,0,,
322,2011,racing1999_2013/racing2011/one_design.htm,Lunenburg One Design Regatta - Sponsored by HALIFAX BMW,no_races_or_standings,0,0,,
369,2013,racing1999_2013/racing2013/june_TNS_overall.htm,LYC Handicap - Mahone Marine June TNS Series Overall,variant_noise_in_title,0,6,,
366,2013,racing1999_2013/racing2013/july_TNS_overall.htm,LYC Handicap - North Sails Atlantic/Yachtshop July TNS Overall,variant_noise_in_title,0,12,,
356,2013,racing1999_2013/racing2013/aug_TNS_overall.htm,LYC Handicap - The Boat Locker August TNS Series Overall,variant_noise_in_title,0,15,,
4,2014,racing2014_2025/racing2014/2014SonarNA.htm,2014 SONAR North American Championship - Lunenburg Yacht Club,event_has_no_results,20,0,,
5,2014,racing2014_2025/racing2014/2014SonarNA_all.htm,2014 SONAR North American Championship - Lunenburg Yacht Club,event_has_no_results,10,0,,
34,2014,racing2014_2025/racing2014/sept_TNS_overall.htm,LYC Handicap - September Lunenburg Boatworks TNS Overall,variant_noise_in_title,0,13,,
49,2015,racing2014_2025/racing2015/july_TNS_overall.htm,LYC Handicap - July Sunnybrook Yachts & Boat Locker TNS Overall,variant_noise_in_title,0,15,,
39,2015,racing2014_2025/racing2015/aug_TNS_ab.htm,LYC Handicap - Mahone Marine August TNS Overall,variant_noise_in_title,0,14,,
40,2015,racing2014_2025/racing2015/aug_TNS_overall.htm,LYC Handicap - Mahone Marine August TNS Overall,variant_noise_in_title,0,14,,
51,2015,racing2014_2025/racing2015/june_TNS_ab.htm,LYC Handicap - Michele Stevens June TNS Overall,variant_noise_in_title,0,7,,
52,2015,racing2014_2025/racing2015/june_TNS_overall.htm,LYC Handicap - Michele Stevens June TNS Overall,variant_noise_in_title,0,7,,
79,2016,racing2014_2025/racing2016/aug_TNS_overall.htm,LYC Handicap - August TNS OVERALL,variant_noise_in_title,0,16,,
87,2016,racing2014_2025/racing2016/july_TNS_overall.htm,LYC Handicap - July TNS Overall,variant_noise_in_title,0,12,,
86,2016,racing2014_2025/racing2016/july_TNS_ab.htm,"LYC Handicap - July TNS Overall A, (B&S)",variant_noise_in_title,0,12,,
118,2017,racing2014_2025/racing2017/sonar_fleet.htm,Womens Keelboat Championship by Bow,no_races_or_standings,0,0,,
119,2018,racing2014_2025/racing2018/Aug_TNS.htm,LYC Handicap - Lunenburg Boatworks August TNS,no_races_or_standings,0,0,,
139,2018,racing2014_2025/racing2018/sept_TNS_overall.htm,LYC Handicap - September TNS West Nova Fuels OVERALL,variant_noise_in_title,0,10,,
164,2020,racing2014_2025/racing2020/aug_TNS_overall.htm,LYC Handicap - August TNS Mahone Marine OVERALL,no_races_or_standings,0,0,,
164,2020,racing2014_2025/racing2020/aug_TNS_overall.htm,LYC Handicap - August TNS Mahone Marine OVERALL,variant_noise_in_title,0,0,,
176,2020,racing2014_2025/racing2020/sep_TNS_overall.htm,LYC Handicap - September TNS - Prince's Inlet Cup OVERALL,variant_noise_in_title,0,9,,
190,2021,racing2014_2025/racing2021/sept_TNS_overall.htm,LYC Handicap - Sept TNS Prince's Inlet Cup OVERALL,variant_noise_in_title,0,11,,
192,2022,racing2014_2025/racing2022/aug_TNS_overall.htm,LYC Handicap - August TNS Overall,variant_noise_in_title,0,13,,
215,2023,racing2014_2025/racing2023/june_TNS_overall.htm,LYC Handicap - Michele Stevens June TNS Overall,variant_noise_in_title,3,4,,
222,2024,racing2014_2025/racing2024/aug_TNS_overall.htm,LYC Handicap - August Thrusday Night Series - Glube Cup/Sauerkraut Cup OVERALL,variant_noise_in_title,0,12,,
227,2024,racing2014_2025/racing2024/july_TNS_overall.htm,LYC Handicap - July TNS Overall - Douglas Mosher Trophy/Paceship Cup,variant_noise_in_title,0,10,,
219,2024,racing2014_2025/racing2024/MC_Gold.htm,Mobility Challenge Cup 2024 - Gold Fleet,no_races_or_standings,0,0,,
220,2024,racing2014_2025/racing2024/MC_Silver.htm,Mobility Challenge Cup 2024 - Silver Fleet,no_races_or_standings,0,0,,
244,2025,racing2014_2025/racing2025/sep_TNS_overall.htm,LYC Handicap - September TNS Prince's Inlet Cup Overall,variant_noise_in_title,0,6,,
