year,event,course,date,wind_kts,band,n_boats,phrf_winner,orc_winner_043900036AB,rank_changes_043900036AB,orc_winner_03510002C0S,rank_changes_03510002C0S,orc_winner_03510000V13,rank_changes_03510000V13,winners_agree
2014,LYC Handicap - Boland's Cup,Boland's Cup,27/07/14,12.6,medium,9,Shenanagans,Shenanagans,3,Shenanagans,2,Gosling,2,False
2014,LYC Handicap - Leeward Island Trophy,Leeward Island,22/06/14,4.7,low,4,Shenanagans,Shenanagans,0,Shenanagans,0,Shenanagans,0,True
2014,LYC Handicap - RG Smith Trophy (Tancook Race ),RG Smith (Tancook),31/08/14,11.9,medium,4,Scotch Mist,Scotch Mist,0,Scotch Mist,0,Scotch Mist,0,True
2015,LYC Handicap - Boland's Cup,Boland's Cup,26/07/15,9.6,medium,3,Shenanagans,Shenanagans,0,Shenanagans,0,Shenanagans,0,True
2015,LYC Handicap - Leeward Island,Leeward Island,05/07/15,5.7,low,12,Scotch Mist,Ping,8,Ping,8,Ping,6,True
2015,LYC Handicap - RG Smith Trophy,RG Smith (Tancook),30/08/15,7.3,low,9,Scotch Mist,Ping,4,Ping,4,Ping,4,True
2016,LYC Handicap - Boland's Cup,Boland's Cup,21/08/16,9.2,medium,8,Mojo,Echo,6,Echo,6,Mojo,4,False
2016,LYC Handicap - Leeward Island Race,Leeward Island,24/07/16,5.1,low,7,Shenanagans,Shenanagans,2,Shenanagans,2,Shenanagans,2,True
2016,LYC Handicap - RG Smith Tancook Race,RG Smith (Tancook),04/09/16,8.4,low,10,Ping,Ping,0,Ping,0,Ping,0,True
2017,LYC Handicap - Bolands Trophy,Boland's Cup,27/08/17,2.8,low,2,Mojo,Mojo,0,Mojo,0,Mojo,0,True
2017,LYC Handicap - Leeward Island Race,Leeward Island,30/07/17,7.8,low,10,Mojo,SOT After,6,SOT After,6,Mojo,3,False
2017,LYC Handicap - RG Smith Tancook RAce,RG Smith (Tancook),03/09/17,9.1,medium,5,Mojo,Echo,2,Buzz,3,Buzz,2,False
2018,LYC Handicap - Boland's,Boland's Cup,26/08/18,9.0,low,5,Buzz 105,Echo,2,Echo,2,Echo,2,True
2018,LYC Handicap - Leeward Island Race,Leeward Island,22/07/18,9.6,medium,5,Mojo,So-Gnarly,4,So-Gnarly,4,So-Gnarly,4,True
2018,LYC Handicap - RG Smith Trophy,RG Smith (Tancook),02/09/18,9.3,medium,4,Mojo,Mojo,2,Mojo,2,Mojo,2,True
2019,LYC Handicap - Bolands Trophy,Boland's Cup,11/08/19,10.4,medium,6,Ping,Ping,4,Ping,4,Ping,3,True
2019,LYC Handicap - Leeward Island,Leeward Island,23/06/19,13.6,medium,4,Buzz 105,Buzz 105,0,Buzz 105,0,Buzz 105,0,True
2019,LYC Handicap - RG Smith Tancook Race,RG Smith (Tancook),01/09/19,2.4,low,4,Paradigm Shift,Paradigm Shift,0,Paradigm Shift,0,Paradigm Shift,0,True
2020,LYC Handicap - Bolands Trophy,Boland's Cup,09/08/20,6.4,low,5,Mojo,Mojo,2,Mojo,2,Mojo,2,True
2020,LYC Handicap - Leeward Island Race,Leeward Island,26/07/20,7.3,low,6,Mojo,Mojo,2,Mojo,0,Mojo,0,True
2020,LYC Handicap - RG.Smith Tancook Race,RG Smith (Tancook),06/09/20,7.9,low,7,Paradigm Shift,Paradigm Shift,2,Paradigm Shift,2,Paradigm Shift,2,True
2021,LYC Handicap - Leeward Island,Leeward Island,25/07/21,9.6,medium,4,Mojo,SOT After,3,SOT After,2,SOT After,2,True
2021,LYC Handicap - RG Smith,RG Smith (Tancook),05/09/21,5.4,low,3,Second Chance,Mojo,3,Mojo,3,Mojo,3,True
2022,LYC Handicap - Bolands Trophy,Boland's Cup,24/07/22,8.4,low,4,Mojo,Mojo,0,Mojo,0,Mojo,0,True
2022,LYC Handicap - Leeward Islands Pursuit Race,Leeward Island,21/08/22,5.9,low,5,Paradigm Shift,Shenanagans,4,Shenanagans,4,Shenanagans,4,True
2022,LYC Handicap - RG Smith Tancook Race,RG Smith (Tancook),04/09/22,6.1,low,3,Mojo,Mojo,0,Mojo,0,Mojo,0,True
2025,LYC Handicap - Bolands,Boland's Cup,20/07/25,10.2,medium,2,Mojo,Echo,2,Echo,2,Echo,2,True
2025,LYC Handicap - Leeward Island Race,Leeward Island,,,medium,2,Mojo,Poohsticks,2,Poohsticks,2,Poohsticks,2,True
2025,LYC Handicap - RG Smith (Tancook Race),RG Smith (Tancook),30/08/25,8.7,low,3,Mojo,Mojo,0,Mojo,0,Mojo,0,True
